Person 91
Starting Actual Velocity = [1.11551449 0.44294879]
[7.99339719 2.01578836]
[8.01145537 2.16666876]
[8.04686761 2.32416892]
[8.09855052 2.48657558]
[8.16444743 2.6520618 ]
[8.24151286 2.81871918]
[8.32579476 2.98459663]
[8.40974939 3.14231723]
[8.4885835 3.2904794]
[8.56346319 3.43828104]
[8.62447615 3.57392297]
[8.67247483 3.70615813]
[8.70119039 3.82879486]
[8.70786862 3.937154  ]
[8.69245354 4.0387493 ]
[8.6536017  4.12886236]
[8.59239947 4.20717548]
[8.51118359 4.27342562]
[8.41681208 4.32548158]
[8.30727147 4.36715766]
[8.19067978 4.39570158]
[8.08091578 4.40956778]
[7.97472535 4.41110989]
[7.87677372 4.39980197]
[7.78836089 4.3743279 ]
[7.72075128 4.33583707]
[7.6735195 4.2841175]
[7.64935693 4.21978542]
[7.65011469 4.14398191]
[7.67673483 4.05840248]
[7.72922221 3.96527032]
[7.80667906 3.86726994]
[7.90362694 3.77111747]
[8.01523105 3.67970375]
[8.14688931 3.58822232]
[8.3026721  3.49665641]
[8.45738503 3.42153276]
[8.61137555 3.35987536]
[8.77315061 3.30752318]
[8.9268057 3.2697974]
[9.08158004 3.24321883]
[9.22817419 3.22938128]
[9.50732398 3.27275734]
[9.76745388 3.31947226]
[9.98550968 3.36367247]
[10.1736657   3.40505328]
[10.33990622  3.44287876]
[10.47190816  3.47149352]
[10.58463251  3.49135373]
[10.67101014  3.49832784]
[10.74210819  3.49175762]
[10.7941555   3.47018629]
[10.83444722  3.43160678]
[10.86096173  3.37810042]
[10.8769665   3.30904985]
[10.88356521  3.21824308]
[10.87896887  3.12456486]
[10.86538783  3.02029959]
[10.84139254  2.90255149]
[10.80789247  2.78323904]
[10.76363595  2.66016382]
[10.70784303  2.5358389 ]
[10.63676851  2.40738358]
[10.55140358  2.28293543]
[10.45513793  2.16972991]
[10.33953158  2.05931615]
[10.21284441  1.96258038]
[10.06412201  1.87136486]
[9.90443017 1.79393585]
[9.72012819 1.72271293]
[9.5168475  1.64806146]
[9.29977256 1.58226777]
[9.06916788 1.52431241]
[8.82534173 1.47284836]
[8.56871059 1.42631896]
[8.29985218 1.38307879]
[8.01954541 1.34151214]
[7.728797   1.30014401]
[7.41522235 1.25581186]
[7.10732348 1.21132174]
[6.79357229 1.16435267]
[6.4759512  1.11483654]
[6.15667003 1.06316347]
[5.83815605 1.01018555]
[5.52304226 0.95720144]
[5.21415086 0.90592224]
[4.91446681 0.85841845]
[4.62709517 0.81704622]
[4.35519537 0.78435116]
[4.10188761 0.76294823]
[3.85959534 0.75503515]
[3.66243128 0.76475617]
[3.48956537 0.79103606]
[3.34270447 0.83532698]
[3.23710954 0.89578562]
[3.16126539 0.97072661]
[3.10671663 1.0673398 ]
[3.07855576 1.18212499]
[3.07521466 1.30697873]
[3.09397297 1.46648268]
[3.14293257 1.6789714 ]
[3.2070778  1.88732779]
[3.2716765  2.08161463]
[3.33256276 2.27215788]
[3.3773659  2.43753659]
[3.4083328  2.59855035]
[3.41717395 2.73638896]
[3.40118404 2.8737484 ]
[3.36281251 2.96191648]
[3.30096144 3.03721812]
[3.22141413 3.09099849]
[3.11849993 3.13035729]
[2.99796121 3.15252667]
[2.87815083 3.15934666]
[2.74349354 3.15552046]
[2.60410475 3.14226452]
[2.47134405 3.12308004]
[2.34121986 3.09981999]
[2.20999737 3.07326237]
[2.09514583 3.04846753]
[1.99186898 3.0261427 ]
[1.89745691 3.00727019]
[1.82067995 2.99548044]
[1.76616691 2.99282908]
[1.72766745 3.0000081 ]
[1.71066453 3.01808576]
[1.71188728 3.04772669]
[1.73175979 3.09192282]
[1.76810818 3.14723637]
[1.82253064 3.21927946]
[1.90303612 3.31953684]
[2.00525932 3.44480674]
[2.11759464 3.58475315]
[2.23492472 3.73611219]
[2.35906462 3.90379862]
[2.48133319 4.07847311]
[2.59931449 4.25740301]
[2.72389665 4.45821374]
[2.83384014 4.64344712]
[2.93785736 4.82854179]
[3.04261857 5.02330873]
[3.14888045 5.22765528]
[3.25759405 5.44126103]
[3.36987367 5.66356845]
[3.48695198 5.89377311]
[3.6101228 6.1308152]
[3.74835269 6.38764172]
[3.8963483  6.64881199]
[4.04654146 6.89747959]
[4.20730115 7.14588504]
[4.37903503 7.39168453]
[4.56175021 7.63233724]
[4.75500031 7.86513925]
[4.95785183 8.08726227]
[5.16886843 8.29579478]
[5.38611368 8.48778384]
[5.62017567 8.67042258]
[5.84211652 8.8189626 ]
[6.06161052 8.94209179]
[6.27570195 9.03763807]
[6.46845858 9.09909084]
[6.65014186 9.13216749]
[6.81783645 9.13535441]
[6.95922854 9.10905448]
[7.09181749 9.05077348]
[7.20231596 8.95925285]
[7.28841779 8.8338712 ]
[7.34819148 8.6743587 ]
[7.38016839 8.48085523]
[7.38342584 8.25396843]
[7.35766134 7.99482764]
[7.3032537 7.7051289]
[7.22130645 7.38716572]
[7.11366875 7.04383998]
[6.9829297  6.67864815]
[6.84252261 6.33950172]
[6.6911615  5.98970067]
[6.51472951 5.58856131]
[6.36239046 5.23786658]
[6.22850102 4.91838612]
[6.09800987 4.58814669]
[5.98621211 4.27507813]
[5.89707228 3.982525  ]
[5.83370242 3.71298385]
[5.78654417 3.38651056]
[5.79169859 3.17698403]
[5.82668761 2.99318489]
[5.89099804 2.8345704 ]
[5.98346075 2.70015495]
[6.09442179 2.59604668]
[6.23593303 2.50435255]
[6.39931803 2.43232523]
[6.58178648 2.37812327]
[6.78036782 2.33985796]
[6.99199109 2.31563859]
[7.19878384 2.30440887]
[7.42687742 2.30211532]
[7.65903855 2.30859417]
[7.89238344 2.32219926]
[8.12417626 2.34137646]
[8.35185297 2.36466685]
[8.5730383 2.3907071]
[8.78555655 2.4182281 ]
[8.97567691 2.45128054]
[9.15665351 2.48423556]
[9.32862244 2.51699439]
[9.49147626 2.54933236]
[9.6448912  2.58090923]
[9.79860444 2.61344848]
[9.93061807 2.64189947]
[10.05115962  2.66791984]
[10.15933418  2.69080015]
[10.2541784   2.70976476]
[10.33468426  2.72398211]
[10.39982031  2.73257567]
[10.44855016  2.73463562]
[10.47984874  2.72923152]
[10.49271664  2.71542612]
[10.48619317  2.6922905 ]
[10.45936854  2.65892078]
[10.41139598  2.61445656]
[10.34150428  2.55810123]
[10.24240464  2.48421873]
[10.12497413  2.40103662]
[9.98387605 2.30415212]
[9.81880499 2.19327922]
[9.62961828 2.06832607]
[9.41635821 1.92942322]
[9.17927017 1.77694869]
[8.93117188 1.61926984]
[8.6710713  1.45715778]
[8.38615034 1.2830286 ]
[8.07851731 1.0990906 ]
[7.75067323 0.90786426]
[7.40551859 0.71215917]
[7.04634717 0.51503818]
[6.67682511 0.31976857]
[6.30095347 0.12976087]
[ 5.92301401 -0.05150324]
[ 5.54749833 -0.22055149]
[ 5.1790241  -0.37400723]
[ 4.82224594 -0.50867719]
[ 4.48175849 -0.62163655]
[ 4.16199532 -0.71030707]
[ 3.86712823 -0.77252476]
[ 3.60097183 -0.80659433]
[ 3.36689806 -0.81132815]
[ 3.16776456 -0.78606876]
[ 3.00586017 -0.73069478]
[ 2.88286928 -0.64561102]
[ 2.79985597 -0.53172429]
[ 2.75726741 -0.39040702]
[ 2.75495505 -0.22345116]
[ 2.79221128 -0.03301487]
[2.86781851 0.17843533]
[2.98812818 0.42459536]
[3.14819436 0.68832793]
[3.33192371 0.94737708]
[3.54487409 1.21524087]
[3.78419977 1.48879164]
[4.0657005  1.78465895]
[4.35014963 2.06018263]
[4.65169925 2.33216975]
[4.96730467 2.59786364]
[5.29396744 2.85467901]
[5.65267101 3.11776293]
[6.01724358 3.36523211]
[6.38430265 3.59470571]
[6.75059185 3.80411793]
[7.11297817 3.99172918]
[7.46844364 4.15613345]
[7.81407309 4.29626218]
[8.14703936 4.41138517]
[8.4645875  4.50110857]
[8.76401935 4.56537032]
[9.04267996 4.60443292]
[9.28092913 4.61791076]
[9.49677986 4.61072299]
[9.68813632 4.58379283]
[10.05302145  4.48294158]
[10.14513121  4.40036956]
[10.20865192  4.29710783]
[10.23216372  4.1801395 ]
[10.21359873  4.05179352]
[10.15524443  3.92362271]
[10.05734756  3.78963636]
[9.91877921 3.6517695 ]
[9.73866491 3.51189101]
[9.51642513 3.37176003]
[9.25181654 3.23298098]
[8.94497311 3.09695796]
[8.59644635 2.96484997]
[8.17944335 2.82843381]
[7.71754874 2.69817893]
[7.21330239 2.57427042]
[6.66996369 2.45638329]
[6.09153012 2.3436645 ]
[5.48273687 2.23473377]
[4.89127908 2.13484029]
[4.283056   2.03468243]
[3.66346421 1.93205769]
[2.99358337 1.81683003]
[2.32463469 1.69270809]
[1.8620093  1.67804999]
[1.42429757 1.63111264]
[0.96016353 1.5432355 ]
[0.51373127 1.41078842]
[0.09724187 1.23089735]
[-0.25268234  1.01747249]
[-0.5796634   0.74374937]
[-0.82803813  0.44495531]
[-1.01732359  0.1090191 ]
[-1.14275629 -0.25966671]
[-1.20116622 -0.65554928]
[-1.19102971 -1.07209747]
[-1.11245091 -1.50202457]
[-0.96707706 -1.93753778]
[-0.75795754 -2.37060001]
[-0.48935998 -2.79318977]
[-0.16655812 -3.19754641]
[ 0.20439386 -3.57638985]
[ 0.61688726 -3.9231068 ]
[ 1.06397404 -4.23189813]
[ 1.53856287 -4.49788469]
[ 2.10430855 -4.7484986 ]
[ 2.68694396 -4.93351505]
[ 3.20296148 -5.03577099]
[ 3.71803513 -5.08555865]
[ 4.2264944  -5.08310023]
[ 4.72314996 -5.02940703]
[ 5.23760554 -4.91881083]
[ 5.69532005 -4.76494454]
[ 6.12838795 -4.56684871]
[ 6.53359424 -4.32773678]
[ 6.93491756 -4.03136343]
[ 7.27392911 -3.71866529]
[ 7.57782907 -3.37634641]
[ 7.86409379 -2.9820944 ]
[ 8.5106168  -2.36953255]
[ 9.10766842 -1.71925531]
[ 9.60576337 -1.07978985]
[ 9.98168867 -0.49707892]
[10.27760858  0.06899063]
[10.49611087  0.6149182 ]
[10.64989243  1.17449131]
[10.71553916  1.66724575]
[10.71089929  2.12894272]
[10.63808403  2.55593744]
[10.49912257  2.94454529]
[10.29596966  3.29106832]
[10.03051068  3.59184484]
[9.68128356 3.86128968]
[9.29245655 4.05600372]
[8.8467302  4.19493266]
[8.34577655 4.27570264]
[7.79127112 4.2966982 ]
[7.14163822 4.25447057]
[6.48192453 4.15084684]
[5.77453915 3.98956987]
[5.02200506 3.77435022]
[4.22739694 3.51060312]
[3.39451793 3.20545473]
[2.46618812 2.84350315]
[1.57041682 2.48206287]
[0.58892047 2.08335543]
[-0.33941145  1.71295702]
[-1.26956453  1.35589891]
[-2.25672802  0.99930057]
[-3.15556586  0.70344402]
[-4.02128627  0.44994811]
[-4.90034929  0.22991218]
[-5.65875595  0.0802052 ]
[-6.39733918 -0.02363032]
[-7.00120937 -0.0651488 ]
[-7.55372079 -0.05808469]
[-7.96708229e+00 -5.33068202e-03]
[-8.28037501  0.08385916]
[-8.50590597  0.21080282]
[-8.60521395  0.35231679]
[-8.60240042  0.50729579]
[-8.4933955   0.67984373]
[-8.29092466  0.83986565]
[-8.00123303  0.99261344]
[-7.63198506  1.13302709]
[-7.19184657  1.25711493]
[-6.69024791  1.36201501]
[-6.13714915  1.44600918]
[-5.54281026  1.50849521]
[-4.91756763  1.54992283]
[-4.27161891  1.57169828]
[-3.21132178  1.81841884]
[-2.2054257   2.01132877]
[-1.18982126  2.17052895]
[-0.30796039  2.28168968]
[0.50979812 2.3662834 ]
[1.26122942 2.43181188]
[1.94461565 2.48499918]
[2.55876858 2.53173808]
[3.10304799 2.57704825]
[3.57737615 2.62504813]
[4.01116738 2.6827918 ]
[4.36627807 2.75014207]
[4.62624033 2.82350894]
[4.83601084 2.91304583]
[4.96609904 3.0071543 ]
[5.04365601 3.11726457]
[5.05850121 3.22731136]
[5.02170144 3.34995859]
[4.93403955 3.47432421]
[4.81047427 3.5884976 ]
[4.64198019 3.70547007]
[4.45450049 3.80556573]
[4.24405526 3.89409009]
[4.01564665 3.96815435]
[3.75676333 4.029289  ]
[3.50600182 4.06567115]
[3.2506733  4.08126783]
[2.99424731 4.07508325]
[2.73967678 4.04671189]
[2.489381  3.9963417]
[2.24524824 3.92473429]
[1.99175684 3.82664492]
[1.7643119  3.71569163]
[1.54580972 3.58891083]
[1.33633406 3.44880321]
[1.13566731 3.29808571]
[0.94335521 3.13959681]
[0.75877034 2.97620295]
