Person 91
Starting Actual Velocity = [ 1.17584001 -0.05345512]
[18.79550715 -0.6940396 ]
[19.58192857 -0.73092927]
[19.77345061 -0.7407281 ]
[19.83914616 -0.74091619]
[19.85858459 -0.739511  ]
[19.8643053  -0.73768511]
[19.86582184 -0.73575598]
[19.86873513 -0.73301496]
[19.87022808 -0.73054447]
[19.87594599 -0.72689275]
[19.87272531 -0.72561672]
[19.87483529 -0.72291924]
[19.87503829 -0.72071037]
[19.87735108 -0.71795167]
[19.88625322 -0.71362308]
[19.88365002 -0.71195306]
[19.89709718 -0.70678461]
[19.95343968 -0.69647763]
[19.91130711 -0.69985368]
[19.89619229 -0.69964874]
[19.91422303 -0.69375006]
[19.89747442 -0.69399692]
[19.88998103 -0.69271793]
[19.886403   -0.69070828]
[19.88504204 -0.68821225]
[19.90878668 -0.68141132]
[19.91079981 -0.67784277]
[19.89844149 -0.67646864]
[19.89174483 -0.67420228]
[19.88778014 -0.67139001]
[19.88652261 -0.66797895]
[19.8861133  -0.66423873]
[19.88582333 -0.66026257]
[19.88534476 -0.65607678]
[19.8845244 -0.6516836]
[19.88147752 -0.64755365]
[19.87925914 -0.6433742 ]
[19.87607436 -0.6392492 ]
[19.89579395 -0.63459105]
[19.8852259  -0.63025318]
[19.87077057 -0.62601889]
[19.85897325 -0.62186598]
[19.86661276 -0.61942285]
[19.84705284 -0.61464649]
[19.83097267 -0.61068285]
[19.8172336  -0.60768471]
[19.80358536 -0.60565344]
[19.78905211 -0.60477036]
[19.77495186 -0.60610504]
[19.75899454 -0.60947228]
[19.74202069 -0.61605206]
[19.71719638 -0.62155058]
[19.69360763 -0.63222317]
[19.66953406 -0.64796349]
[19.64607916 -0.67139435]
[19.61451553 -0.69264628]
[19.58630962 -0.72556584]
[19.55508533 -0.76260035]
[19.6724414  -0.98631358]
[19.71002977 -1.12975348]
[19.70710552 -1.2331871 ]
[19.6898126 -1.3298392]
[19.69110658 -1.47820195]
[19.63335183 -1.53333408]
[19.57602915 -1.58242482]
[19.52866942 -1.64711196]
[19.50288937 -1.75615079]
[19.46713324 -1.84593002]
[19.42141584 -1.90893048]
[19.3795412  -1.96962776]
[19.34240147 -2.02969716]
[19.31168104 -2.09266522]
[19.28832508 -2.16052374]
[19.27741849 -2.24280849]
[19.25281277 -2.28987833]
[19.23394032 -2.336478  ]
[19.21843481 -2.37900332]
[19.14991252 -2.39064015]
[19.10733205 -2.40440359]
[19.07869266 -2.41732293]
[19.05831948 -2.42902438]
[19.03377542 -2.42108796]
[19.00935668 -2.40708428]
[18.98211017 -2.38360359]
[18.94943935 -2.34683506]
[18.91502281 -2.30989863]
[18.86711532 -2.24403502]
[18.80867669 -2.1546964 ]
[18.74286642 -2.05215471]
[18.67009869 -1.94164791]
[18.5891621  -1.82611234]
[18.49613927 -1.71389775]
[18.3815572  -1.61182797]
[18.25874652 -1.45058598]
[18.1308566  -1.30488925]
[17.99587604 -1.18036441]
[17.8559738 -1.0713713]
[17.69490879 -1.02177246]
[17.51354295 -0.99887289]
[17.34507408 -0.88785081]
[17.1783825  -0.81249348]
[17.01169045 -0.76703654]
[16.84491439 -0.74042523]
[16.67837112 -0.72301612]
[16.51241989 -0.70982768]
[16.34681671 -0.70342572]
[16.18152347 -0.69199525]
[16.01793584 -0.67285734]
[15.85791942 -0.64445396]
[15.70534898 -0.60837373]
[15.55810779 -0.55889274]
