Person 91
Starting Actual Velocity = [1.16709374 0.26025858]
[18.35506235  4.09287488]
[19.15724565  4.27066867]
[19.35795912  4.31495689]
[19.4201119   4.32870772]
[19.43695658  4.33244177]
[19.44053534  4.33320249]
[19.44014064  4.33303597]
[19.43851713  4.33254189]
[19.43654569  4.331878  ]
[19.43445689  4.3310786 ]
[19.43249452  4.3301773 ]
[19.43049694  4.32922093]
[19.42853992  4.32820803]
[19.42659145  4.3271276 ]
[19.42463944  4.32590256]
[19.42288517  4.3245693 ]
[19.42108535  4.32304022]
[19.4194937   4.32069932]
[19.41916766  4.31803039]
[19.41830591  4.31581114]
[19.41698253  4.31359064]
[19.41570792  4.31160727]
[19.41423847  4.30979561]
[19.41258032  4.30812366]
[19.41080063  4.306521  ]
[19.40892709  4.30459876]
[19.40737192  4.3024256 ]
[19.40593337  4.30034243]
[19.40439057  4.29836406]
[19.4027134   4.29648649]
[19.40093689  4.29464547]
[19.39910816  4.29280018]
[19.39726309  4.29092142]
[19.39542112  4.28899333]
[19.39359069  4.2870086 ]
[19.3750851   4.28263628]
[19.36783844  4.27967877]
[19.36506874  4.27725402]
[19.36426049  4.27450719]
[19.36409951  4.27195831]
[19.36394217  4.26957525]
[19.36361495  4.26731705]
[19.36340979  4.26472665]
[19.36268473  4.2625048 ]
[19.36181258  4.26035848]
[19.36074661  4.25828417]
[19.35948634  4.25627246]
[19.35805754  4.2543036 ]
[19.35651198  4.25231481]
[19.35484573  4.25031472]
[19.35309432  4.24826634]
[19.35115671  4.24634043]
[19.34915364  4.2443998 ]
[19.34704501  4.24246025]
[19.34486133  4.24046524]
[19.342479    4.23861426]
[19.34006778  4.23670088]
[19.33751363  4.2348448 ]
[19.33485523  4.23301518]
[19.33206618  4.23122616]
[19.32919158  4.22945189]
[19.32619736  4.2277233 ]
[19.3229649   4.22604753]
[19.31996432  4.22382373]
[19.31591348  4.22237947]
[19.31183625  4.22115805]
[19.30766854  4.22003213]
[19.30343501  4.21872759]
[19.29874607  4.21762904]
[19.29376717  4.21679095]
[19.2886562   4.21609551]
[19.28335421  4.21555633]
[19.27782637  4.21514727]
[19.27203446  4.21483395]
[19.26595602  4.21451105]
[19.25953932  4.21440495]
[19.25294185  4.21433863]
[19.24607688  4.21433653]
[19.2389465   4.21445031]
[19.2315313   4.21463241]
[19.22383233  4.21486747]
[19.21580209  4.21512592]
[19.2075207   4.21548223]
[19.19895808  4.21585746]
[19.19005536  4.21625761]
[19.18082932  4.21667987]
[19.17109381  4.2169795 ]
[19.16101887  4.2172545 ]
[19.1506358   4.21746788]
[19.13994884  4.21761226]
[19.12890686  4.21769244]
[19.1174483   4.21768612]
[19.10532381  4.21740805]
[19.09254296  4.21644767]
[19.08045362  4.21569818]
[19.06869843  4.21468862]
[19.05679917  4.21348281]
[19.04473716  4.21220798]
[19.03172478  4.20998689]
[19.01807348  4.20657821]
[19.00532483  4.20387776]
[18.99261315  4.20058187]
[18.9792861   4.19680147]
[18.96510383  4.19255827]
[18.95000927  4.18778681]
[18.93391707  4.18232523]
[18.91634184  4.17568219]
[18.89720235  4.16782839]
[18.87516705  4.15950964]
[18.84976253  4.15070531]
[18.82043899  4.14066552]
[18.78804109  4.12918587]
[18.75328192  4.11584421]
[18.71494842  4.09920597]
[18.6737555   4.07901196]
[18.6302649   4.05500849]
[18.58248519  4.02515352]
[18.53002804  3.98833755]
[18.47439471  3.94512816]
[18.41689757  3.89647126]
[18.35619019  3.8410823 ]
[18.28973234  3.77620005]
[18.21791207  3.70190582]
[18.14144561  3.61875329]
[18.05928974  3.52541462]
[17.97563507  3.42705524]
[17.89191007  3.32616105]
[17.80354509  3.21800908]
[17.70126354  3.09181738]
[17.60294546  2.96974546]
[17.42709703  2.75631073]
[17.30404232  2.59027954]
[17.21948022  2.47070274]
[17.1344043   2.35592004]
[17.0441854   2.24335451]
[16.94318639  2.12870055]
[16.82888853  2.01164796]
[16.67902812  1.87537582]
[16.55471139  1.77331572]
[16.42911199  1.68103812]
[16.27601187  1.58189725]
[16.13953269  1.50606457]
[15.99657309  1.43806772]
[15.85011118  1.37997461]
[15.69500268  1.32980548]
[15.54075719  1.29129584]
[15.38192104  1.26197381]
[15.21917592  1.24188735]
[15.05959638  1.2318836 ]
[14.89714179  1.22997351]
[14.73262902  1.23587477]
[14.56726727  1.24921544]
[14.40265643  1.2695026 ]
[14.24362956  1.29633491]
[14.09205855  1.32806142]
[13.94909979  1.36335419]
[13.81563774  1.40073125]
[13.68943146  1.43905534]
[13.57447233  1.47633194]
[13.46814463  1.51146435]
[13.36845926  1.54344864]
[13.13777545  1.60522516]
[13.19841175  1.60802293]
[13.26719297  1.60207941]
[13.31736869  1.58654897]
[13.33393471  1.56129014]
[13.3147936   1.52786645]
[13.26397959  1.48878939]
[13.1859823   1.44675478]
[13.09414244  1.405177  ]
[12.99654672  1.36792103]
[12.909636    1.33829547]
[12.85163638  1.31556053]
[12.81027795  1.3036459 ]
[12.78337821  1.3035804 ]
[12.76653907  1.31493836]
[12.75180774  1.33669289]
[12.72815911  1.37247197]
[12.68947735  1.41693057]
[12.62738815  1.47352791]
[12.35010197  1.41713241]
[12.13081688  1.43194369]
[11.92553069  1.5681535 ]
[11.80346888  1.78384504]
[11.73354441  1.96982761]
[11.65102284  2.10696786]
[11.52707721  2.16898824]
