0.53318	310.17544	
0.65166	253.33333	
0.77014	200.70175	
0.88863	175.4386	
1.00711	151.57895	
1.12559	137.54386	
1.24408	124.21053	
1.36256	119.29825	
1.48104	115.78947	
1.59953	114.38596	
1.70616	113.68421	
1.82464	114.38596	
1.94313	116.49123	
2.06161	120	
2.18009	124.91228	
2.29858	128.42105	
2.41706	129.82456	
2.53555	131.22807	
2.65403	131.22807	
2.77251	133.33333	
2.891	142.45614	
3.00948	152.2807	
3.12796	150.87719	
3.24645	149.47368	
3.36493	153.68421	
3.48341	157.89474	
3.6019	159.29825	
3.72038	159.29825	
3.83886	163.50877	
3.95735	168.42105	
4.07583	174.73684	
4.19431	180.35088	
4.3128	182.45614	
4.43128	180.35088	
4.54976	178.94737	
4.66825	176.84211	
4.78673	177.54386	
4.90521	184.5614	
5.14218	195.78947	
5.26066	200.70175	
5.37915	202.80702	
5.49763	203.50877	
5.61611	204.91228	
5.7346	206.31579	
6.20853	204.21053	
6.32701	204.91228	
6.4455	207.01754	
6.56398	207.7193	
6.68246	207.01754	
6.80095	207.7193	
6.91943	209.82456	
7.51185	219.64912	
7.63033	215.4386	
7.74882	211.22807	
7.8673	211.92982	
7.98578	212.63158	
8.10427	213.33333	
8.69668	214.73684	
8.81517	215.4386	
8.93365	218.24561	
9.05213	218.94737	
9.17062	216.14035	
9.2891	214.03509	
