Person 55
Starting Position = (370.8214729915586,428.62979404493717)
(374.8929123954428,428.394878680561)
(377.90721649523414,428.2193812064507)
(380.8409494370297,428.04895150554563)
(383.8582527810756,427.87536403340766)
(387.6299022122021,427.6660798773508)
(390.60248119329776,427.50056691294174)
(393.5971005919865,427.33480786668633)
(396.5528645250288,427.1725100244097)
(399.5298520005411,427.010768442235)
(402.7492936414537,426.83927007233456)
(405.76859408463224,426.6796596059632)
(408.7486633139035,426.523410420373)
(411.81030765726473,426.3649206852644)
(414.73196118248757,426.21460087382394)
(417.65460588119987,426.06548009045525)
(420.57824258458885,425.9176756696883)
(423.5230495466313,425.77033242777674)
(426.44869655731657,425.6252561936929)
(429.4359224247911,425.4788933073437)
(432.92898563016905,425.31440764824504)
(435.837612484231,425.1758958513027)
