Person 68
Starting Position = (550.8873078815598,444.26041749481624)
(555.3253568328721,442.1750307680654)
(558.5179316671108,440.8205622224899)
(561.5690419600113,439.61405596660956)
(564.6691291138163,438.4484368640752)
(568.525359535389,437.03099676406265)
(571.5343011442559,435.97310560763873)
(574.5457901380021,434.94619259612483)
(577.5035404353084,433.96108638197705)
(580.4712287959916,432.9906279153702)
(583.6738565942443,431.9548205259093)
(586.6666483103543,431.0025974487112)
(589.6112972359982,430.0787971418401)
(592.6296175161887,429.14156680679673)
(595.5015528821306,428.2606288797852)
(598.3676024403032,427.3900647748335)
(601.2286297858294,426.52819225649944)
(604.1051934600843,425.6675574596452)
(606.9578603483726,424.8197372284197)
(609.8666779524069,423.959256511182)
(613.275083657738,422.94298638172415)
(616.1017119664497,422.11232476533604)
