Person 54
Starting Position = (357.3989204617734,222.92637908985807)
(361.02836475105516,224.78006927686613)
(363.71303867615995,226.1527333797667)
(366.32484385112764,227.48859274550594)
(369.01058896415975,228.86213359812186)
(372.3700723050104,230.5775446887197)
(375.0161040363176,231.92955485260754)
(377.68093438592894,233.29133097541003)
(380.3106128306173,234.6351147612585)
(382.95881737402806,235.98814625339756)
(385.82306158571504,237.45065403867227)
(388.5086558773167,238.8219253836164)
(391.1588603004171,240.175054460078)
(393.8814624268174,241.56476456381483)
(396.4789948917834,242.89068133630317)
(399.0770098381297,244.21674590782968)
(401.6755833367217,245.54294517890375)
(404.2927347072796,246.87841157674004)
(406.8925429065956,248.20490503878122)
(409.54695573448936,249.5589656181288)
(412.65295570661067,251.14108110882702)
(415.2376358032282,252.45878729513913)
