Person 40
Starting Position = (314.45633361822,126.16519487008215)
(318.8406692350927,128.70731135686194)
(322.3055236197707,130.77473102629807)
(325.5236160589367,132.74058102846843)
(328.74854167472193,134.75018498416387)
(331.89441976893517,136.7417197047489)
(334.9703103203337,138.71368879445876)
(337.9835830296298,140.66547303459967)
(340.9925325191113,142.6314455239756)
(343.9655853098311,144.588244916322)
(346.99291509079507,146.59367658889366)
(349.88511121600436,148.51991061162244)
(352.80086103550315,150.4712112586543)
(355.6722023105202,152.4009606755947)
(358.5521353336935,154.34392104506597)
(361.54441176303726,156.36994609368676)
(364.4093771134073,158.3158330585414)
(367.4902208458417,160.4147400013443)
(371.26374755094594,162.99405939347835)
(374.16134298288347,164.97920220069986)
(377.00325089651,166.93035325423236)
(380.19742584555877,169.1282474222455)
(382.99688372677787,171.05816150586168)
(385.74191291616756,172.95385929387047)
(388.44981448173104,174.82698657079487)
(391.1377813714212,176.68920953152096)
(394.19436828228606,178.81022711769586)
(397.1634155896452,180.87359731136468)
(399.8936367080775,182.7735486884565)
(402.5709157946128,184.6390068470038)
(405.21232117430174,186.48166846312455)
(407.8516611662335,188.32499682107002)
(410.48904471005176,190.16898347798167)
(413.1245705069933,192.0136182876839)
(415.75833047052345,193.8588912130269)
(418.39041077010137,195.70479293550417)
(420.98736716813676,197.52777227792512)
(423.58282020213227,199.3513436650711)
(426.1600993633612,201.16372407493665)
(429.08757986438945,203.2241665005352)
(431.79609418325936,205.1321369377049)
(434.36947801037286,206.94638570084442)
(436.8914989493125,208.72578735185024)
(439.6797835924111,210.69451928356952)
(442.18299246278787,212.46327958277217)
(444.6350590626754,214.1971132262091)
(447.069478029768,215.9196185232298)
(449.4863248937547,217.6307946991925)
(451.88565824750344,219.33063523431272)
(454.3008770622255,221.04277162024337)
(456.7153518192375,222.755400029979)
(459.14578245805984,224.4803499445448)
(461.475574307851,226.13482269834824)
(463.80470338443337,227.78973633363964)
(466.1332263193017,229.44510563162186)
(468.4944828250072,231.12462166153676)
(470.7553446879614,232.7335658181119)
(473.04895600713354,234.36662943225454)
(475.3088212153581,235.97645589005467)
(477.5515972489489,237.57487491345125)
(479.760684511177,239.1500241582017)
(481.9693671640857,240.72560451082904)
(484.16105631689015,242.28976291186225)
(486.41890548865115,243.90183561289712)
(489.0756959772372,245.79947693976902)
(491.33331142098297,247.4127984632725)
(493.44092204819316,248.91962482331604)
(495.54813218434674,250.42681049039328)
(497.8711028479818,252.0889600213759)
(500.1441307069367,253.71604508107626)
(502.2674432016813,255.23660909391685)
(504.3240473660908,256.71000666494757)
(506.33058622224735,258.14810570476277)
(508.3203065036563,259.574694456263)
(510.32646436934834,261.0135986273636)
(512.4321614167877,262.52442897769487)
(514.4049904003167,263.94046203012306)
(516.3776749083962,265.3569083609534)
(518.3502626857205,266.7737925322173)
(520.3061797330681,268.17920264022246)
(522.2288294843645,269.5611997007044)
(524.1348077872786,270.9316938209798)
(526.0573334277398,272.31456126534954)
(527.8968396594304,273.6381780372798)
(529.7362632244029,274.96218730353576)
(531.5756453319426,276.28661216984733)
(533.3984117060502,277.59951375859356)
(535.3373861910374,278.99656442703355)
(537.2266758724055,280.35827903378043)
(539.0329864584753,281.66064033987004)
(540.7894469124509,282.92749600593976)
(542.5292432772461,284.1827551355735)
(544.2855958598265,285.45037611113975)
(546.1747898268834,286.8143004249281)
(548.3134403244345,288.35877971519614)
(550.070405232717,289.6281041085703)
