Person 46
Starting Position = (612.6871653109798,330.91354310411396)
(616.5485768363727,333.5884635198127)
(619.6813430774831,335.7732106024035)
(622.6505485670067,337.85860403340365)
(625.6743178665484,339.99857595023013)
(628.6592703450142,342.1273492753999)
(631.603576816581,344.24324937383886)
(634.50680907926,346.34562503691336)
(637.4201070020595,348.47187873766813)
(640.3087669385346,350.5971591935703)
(643.2570050437695,352.785213784668)
(646.0762489852427,354.8967557032337)
(648.9163066707023,357.04688028389415)
(651.7038639825246,359.1855201405561)
(654.4784436988721,361.35334018176974)
(657.3154700803896,363.63298242032374)
(659.9523869221997,365.8438755024493)
(662.6309871215881,368.2557687565754)
(665.5418781994814,371.2507269729597)
(667.541014039521,373.57059198339397)
(669.294535174872,375.88511005845555)
(671.0699468517167,378.55590253440977)
(672.5099986093172,380.9274186051907)
(673.8615758720648,383.2617995506999)
(675.1399315173471,385.4330762845596)
(676.4288714742744,387.31530879424895)
(677.9922149534211,389.08153668002757)
(679.581006684788,390.6060127870435)
(681.0161670560866,392.0677712450598)
(683.2375146812972,394.24530641968397)
(686.0287420965948,396.47840683578823)
(689.519672325446,398.34589779774313)
(693.6893548222235,399.6406904841623)
(698.3107587392601,400.359246611597)
(703.0543116189116,400.3008245678257)
