Person 91
Starting Actual Velocity = [1.18624055 0.68777271]
[18.65674731 10.81751697]
[18.93363052 11.29737524]
[18.70983976 11.42936048]
[18.42814638 11.48345118]
[18.18426644 11.51176139]
[17.98766404 11.53198298]
[17.83001603 11.54901917]
[17.69970288 11.56454406]
[17.59202835 11.57869463]
[17.49901607 11.59209059]
[17.42286822 11.60381941]
[17.35565369 11.6148848 ]
[17.2972366  11.62499649]
[17.24510792 11.63449323]
[17.19699097 11.64382212]
[17.15548114 11.65201775]
[17.11579851 11.66059413]
[17.07478147 11.67112847]
[17.04467901 11.67731063]
[17.01741266 11.68353924]
[16.99029228 11.69092643]
[16.9664114  11.69644899]
[16.94462463 11.7018382 ]
[16.92438478 11.70704548]
[16.90545214 11.71209409]
[16.8872205  11.71832921]
[16.86958697 11.72369428]
[16.85321678 11.72809492]
[16.83823325 11.73244125]
[16.82423809 11.73669819]
[16.81108275 11.74094496]
[16.7986213  11.74513794]
[16.78678852 11.7492663 ]
[16.77554117 11.75333073]
[16.76484267 11.75733581]
[16.75455741 11.76115705]
[16.74485828 11.76497669]
[16.73557897 11.76870396]
[16.72846001 11.77395672]
[16.71922419 11.77759529]
[16.71028459 11.78083612]
[16.70212542 11.78411689]
[16.69631523 11.78881396]
[16.68805914 11.79173533]
[16.68072517 11.79478669]
[16.67410251 11.79798149]
[16.66790941 11.80121501]
[16.66203718 11.80444816]
[16.65668148 11.80783714]
[16.65155005 11.81123041]
[16.6467852  11.81472544]
[16.64137036 11.81766253]
[16.63663626 11.82081168]
[16.63230668 11.82406641]
[16.62856694 11.82757768]
[16.62398429 11.83047174]
[16.62037188 11.83379431]
[16.61665594 11.83695925]
[16.6131558  11.84014091]
[16.60967866 11.8432274 ]
[16.60663649 11.84646882]
[16.6037057  11.84968486]
[16.60183215 11.85347574]
[16.60494055 11.86025829]
[16.60011356 11.86265826]
[16.59535927 11.86477449]
[16.5922058  11.86760368]
[16.5926476  11.87249665]
[16.59144423 11.87653328]
[16.58837887 11.87940635]
[16.58551745 11.88223848]
[16.58296575 11.88511603]
[16.58100235 11.8882396 ]
[16.57981707 11.89177001]
[16.58029171 11.89630197]
[16.57839482 11.89943742]
[16.57718074 11.90291034]
[16.57636788 11.90658967]
[16.5755682  11.91025515]
[16.57456682 11.91376776]
[16.57372437 11.91734018]
[16.5734969  11.92127107]
