Person 91
Starting Actual Velocity = [ 1.2018107  -0.23542053]
[18.89838557 -3.70522929]
[19.47381    -4.23550314]
[19.47871431 -4.56909555]
[19.38020751 -4.81657561]
[19.27768534 -4.99487805]
[19.1933718  -5.12660215]
[19.12784008 -5.226337  ]
[19.07657948 -5.30488518]
[19.03760943 -5.36648492]
[19.00715339 -5.41688507]
[18.98593994 -5.45518498]
[18.96952039 -5.4869252 ]
[18.95788281 -5.51230133]
[18.94986156 -5.53300893]
[18.94506918 -5.55024038]
[18.94456028 -5.56272161]
[18.94638007 -5.57327306]
[18.95377944 -5.58205345]
[18.97193691 -5.58313206]
[18.97993466 -5.58430001]
[18.98287256 -5.58532338]
[18.98737766 -5.58450097]
[18.99197002 -5.58354502]
[18.99729972 -5.58252341]
[19.00389445 -5.58140985]
[19.01317129 -5.58004676]
[19.02741659 -5.57779606]
[19.04285253 -5.57576616]
[19.05786084 -5.57458795]
[19.07241766 -5.57431067]
[19.0869106  -5.57487821]
[19.10162893 -5.57622209]
[19.11670792 -5.57832558]
[19.13215115 -5.58121928]
[19.14788768 -5.5849598 ]
[19.16361029 -5.58955372]
[19.17924733 -5.59515847]
[19.19464156 -5.60176684]
[19.21184419 -5.61050742]
[19.22956729 -5.61909054]
[19.24588495 -5.62852585]
[19.23242168 -5.65843132]
[19.23264459 -5.68167458]
[19.23974364 -5.6985295 ]
[19.24727043 -5.71491641]
[19.25384754 -5.73199274]
[19.25914824 -5.7499645 ]
[19.26315112 -5.76882498]
[19.26593346 -5.78879181]
[19.26759187 -5.80961837]
[19.26816622 -5.83138646]
[19.26771967 -5.85294366]
[19.26594158 -5.87536796]
[19.26287504 -5.89858147]
[19.25859308 -5.92278188]
[19.25361908 -5.94636155]
[19.24744648 -5.97085676]
[19.24050056 -5.99534873]
[19.23283526 -6.01994505]
[19.22466494 -6.04436574]
[19.21600853 -6.06891035]
[19.20724095 -6.09321647]
[19.19827787 -6.11809755]
[19.18865302 -6.14668965]
[19.18513454 -6.16785277]
[19.18222976 -6.18775376]
[19.17850992 -6.20877765]
[19.17372155 -6.23316417]
[19.17082888 -6.25676286]
[19.16969265 -6.27877096]
[19.1686315  -6.30106737]
[19.16694151 -6.32425104]
[19.16427951 -6.34884486]
[19.16060544 -6.3752068 ]
[19.15603656 -6.40425564]
[19.15221465 -6.43208231]
[19.14729633 -6.46117051]
[19.14066383 -6.49163073]
[19.13200643 -6.52306519]
[19.12086891 -6.55502921]
[19.10641581 -6.58760036]
[19.08771354 -6.62094953]
[19.06557601 -6.6525888 ]
[19.03799832 -6.68359811]
[19.00432855 -6.71305893]
[18.96449548 -6.73953502]
[18.91461386 -6.76351837]
[18.85931979 -6.78032079]
[18.79881699 -6.7891167 ]
[18.73059088 -6.79010716]
[18.65227924 -6.78287816]
[18.56170977 -6.7663975 ]
[18.45201679 -6.73787923]
[18.31632153 -6.69238355]
[18.20120735 -6.64527294]
