Person 91
Starting Actual Velocity = [1.10897917 0.45777897]
[1.25677281 5.17551074]
[1.35428989 5.12879104]
[1.45958282 5.07816038]
[1.57257106 5.02369648]
[1.70195996 4.96150203]
[1.8303861  4.89936255]
[1.96589423 4.83368563]
[2.1081762  4.76460171]
[2.25687848 4.6922642 ]
[2.41160625 4.6168522 ]
[2.5719274  4.53857247]
[2.74941757 4.45202377]
[2.91980503 4.36858305]
[3.09426906 4.28308912]
[3.27226241 4.19586395]
[3.45321794 4.10725402]
[3.64981428 4.01132223]
[3.83501355 3.92104179]
[4.02134363 3.8305563 ]
[4.20818474 3.74027283]
[4.39491103 3.65060079]
[4.58089319 3.56194622]
[4.77875643 3.46850381]
[4.96116461 3.383221  ]
[5.15377498 3.29418595]
[5.32994512 3.21381125]
[5.50219064 3.13627171]
[5.68186958 3.05647371]
[5.84409648 2.98562607]
[6.00065441 2.91829525]
[6.1616653  2.84998235]
[6.3048229  2.79034484]
[6.45039171 2.73039344]
[6.57821957 2.67864163]
[6.70646746 2.62706691]
[6.81741402 2.58303327]
[6.91980153 2.54256265]
[7.01990691 2.50269057]
[7.10397791 2.46917994]
[7.17907443 2.43876519]
[7.24969019 2.40910327]
[7.30623709 2.38457174]
[7.35399496 2.36260116]
[7.39315036 2.34303011]
[7.42394672 2.32570997]
[7.44667946 2.31050751]
[7.46169017 2.29730632]
[7.46936015 2.28600714]
[7.47010359 2.27652704]
[7.46436056 2.26879778]
[7.45690084 2.26032158]
[7.44426488 2.2542679 ]
[7.42604954 2.25059213]
[7.4050152  2.25009238]
[7.38095199 2.2524322 ]
[7.35447237 2.2576679 ]
[7.32614418 2.26581325]
[7.29649034 2.276839  ]
[7.26598908 2.2906734 ]
[7.23507457 2.30720369]
[7.2022654 2.3279058]
[7.16986711 2.35131612]
[7.14000633 2.37515485]
[7.1094137  2.40298978]
[7.08173969 2.43034276]
[7.05396277 2.46132309]
[7.02924989 2.49091923]
[7.00493608 2.52360578]
[6.98254675 2.55656791]
[6.96306558 2.58690548]
[6.94447204 2.6192747 ]
[6.92847984 2.64834277]
[6.91408828 2.67632882]
[6.90119586 2.70293113]
[6.88927866 2.72993346]
[6.87903089 2.75273501]
[6.86980836 2.77331643]
[6.8614083  2.79143833]
[6.85360815 2.80687864]
[6.8461677  2.81943278]
[6.83883132 2.82891341]
