Person 91
Starting Actual Velocity = [1.05854621 0.5649006 ]
[16.64883667  8.88255825]
[17.37671254  9.2714963 ]
[17.55970134  9.36962693]
[17.61749936  9.40087129]
[17.63429124  9.41027238]
[17.63903517  9.4132762 ]
[17.64012896  9.41436235]
[17.64010294  9.41484292]
[17.63966375  9.41514755]
[17.63911539  9.41534894]
[17.63837933  9.4156466 ]
[17.63765635  9.41587653]
[17.63685199  9.41614206]
[17.63602633  9.41638157]
[17.63525396  9.41650658]
[17.63420492  9.41685337]
[17.63342382  9.41686162]
[17.63358173  9.41583777]
[17.63119228  9.41716259]
[17.62947482  9.4178462 ]
[17.62864808  9.41756775]
[17.62657437  9.41841708]
[17.62474904  9.41898563]
[17.62297633  9.41943557]
[17.62119639  9.41980924]
[17.62044731  9.41902511]
[17.61853377  9.41916842]
[17.61577293  9.42004273]
[17.61324185  9.42062758]
[17.61076877  9.42105806]
[17.608366    9.42129753]
[17.60591936  9.42143691]
[17.60338576  9.42150512]
[17.60074886  9.42150725]
[17.5980027   9.42143886]
[17.59495915  9.42148204]
[17.59192776  9.42133444]
[17.58872715  9.42115786]
[17.5882953   9.41804457]
[17.58401056  9.41818075]
[17.57918366  9.41871001]
[17.57473951  9.41875097]
[17.57354085  9.41542322]
[17.56777697  9.41607665]
[17.56273779  9.41594758]
[17.55828345  9.41509122]
[17.55404127  9.41381361]
[17.54986774  9.41222957]
[17.54616664  9.4099234 ]
[17.54245536  9.4073207 ]
[17.53903325  9.40411978]
[17.53388036  9.40228855]
[17.52963032  9.39938368]
[17.5258431   9.39576123]
[17.52300199  9.39090847]
[17.51797044  9.38783841]
[17.51477101  9.38278671]
[17.51106078  9.37791529]
[17.50758881  9.37254517]
[17.50391561  9.36710599]
[17.50110792  9.36058287]
[17.49840574  9.35367315]
[17.49841204  9.34384401]
[17.51290602  9.31966142]
[17.50415251  9.31638569]
[17.49519302  9.31358426]
[17.49075256  9.30661954]
[17.49753236  9.28873279]
[17.49929656  9.27491214]
[17.49483143  9.26675881]
[17.49082124  9.25823104]
[17.48771253  9.24888888]
[17.48655438  9.23767983]
[17.48814473  9.22374388]
[17.49590931  9.20366948]
[17.49488775  9.19153256]
[17.49630679  9.17705688]
[17.49922554  9.16104436]
[17.50215689  9.14486974]
[17.50420291  9.12941674]
[17.50679966  9.11338547]
[17.51188367  9.09494026]
[17.51205616  9.0809797 ]
[17.51474131  9.06474399]
[17.51895932  9.04706637]
[17.52295728  9.02953898]
[17.53696335  9.00274366]
[17.54387863  8.98207856]
[17.54436842  8.96720879]
[17.54365546  8.95358748]
[17.54463791  8.93862734]
[17.5492552   8.92054873]
[17.56667505  8.89113878]
[17.60557432  8.8424326 ]
[17.59252879  8.83860542]
[17.58450683  8.8309497 ]
[17.58369435  8.81748271]
[17.58272196  8.80436082]
[17.6151675  8.7633659]
[17.65432851  8.71507039]
[17.62186551  8.72551892]
[17.6003121   8.72721806]
[17.58694749  8.72231513]
[17.57719     8.71452931]
[17.56808454  8.70630781]
[17.55943088  8.69791336]
[17.55627475  8.68551838]
[17.55329653  8.67321875]
[17.55053632  8.66104674]
[17.54801611  8.64902802]
[17.54956184  8.63438959]
[17.54806199  8.62229261]
[17.54280388  8.61326461]
[17.5427898   8.60097347]
[17.54124311  8.58946101]
[17.53632265  8.58001519]
[17.53681763  8.56662844]
[17.54109912  8.55046783]
[17.54144758  8.53685589]
[17.53511406  8.52774688]
[17.52880496  8.51888514]
[17.52922571  8.50604034]
[17.53237866  8.49182708]
[17.53527217  8.47818669]
[17.54061458  8.46351714]
[17.5381308   8.45401967]
[17.5286164   8.44911962]
[17.52350036  8.44208997]
[17.53921129  8.42355782]
[17.53609129  8.4159964 ]
[17.70237002  8.31218052]
[17.70385116  8.30465875]
[17.6424502  8.3304693]
[17.59304348  8.34967401]
[17.55523053  8.36253707]
[17.53152393  8.36794813]
[17.52068844  8.36655529]
[17.54775438  8.346301  ]
[17.5276514   8.34789983]
[17.50770091  8.3489542 ]
[17.51388713  8.33738447]
[17.4970198   8.33566135]
[17.48526556  8.33101419]
[17.47476153  8.32507767]
[17.46955025  8.31593809]
[17.46083434  8.30739942]
[17.45390825  8.29703769]
[17.44791254  8.28506965]
[17.43747222  8.27375223]
[17.42796693  8.26058769]
[17.41863196  8.24567011]
[17.40882032  8.22901847]
[17.39796782  8.21058342]
[17.38324067  8.19136924]
[17.36492678  8.1710263 ]
[17.34317992  8.14922813]
[17.31805475  8.125662  ]
[17.29160522  8.09887537]
[17.26096765  8.06981772]
[17.2281704   8.03690303]
[17.19449308  7.99848261]
[17.36031256  7.85324329]
[17.25281374  7.82119155]
[17.15259662  7.78076665]
[17.05763631  7.73055395]
[16.96507277  7.67019445]
[16.87007919  7.60260547]
[16.77353993  7.52615161]
[16.67705298  7.43682589]
[16.5775121   7.33589695]
[16.47699074  7.21828389]
[16.37204651  7.08521582]
[16.25460578  6.94934194]
[16.13467665  6.79841075]
[16.0112012   6.63205319]
[15.88208695  6.45314415]
[15.74649423  6.26530981]
[15.60819246  6.06321344]
[15.46328021  5.85752208]
[15.31637758  5.64343585]
[15.16694352  5.42584519]
[15.01635451  5.20655677]
[14.89354642  4.93840425]
[14.76521735  4.66368131]
[14.60764001  4.41150244]
[14.39760945  4.23854019]
[14.20238169  4.06620297]
[14.02485957  3.88556668]
[13.86055288  3.70407754]
[13.70773427  3.52227281]
[13.56460741  3.33979187]
[13.4286558   3.15782555]
[13.29917856  2.97347759]
[13.18420358  2.77733819]
[13.04889197  2.59234449]
[12.91320998  2.40437691]
[12.76163182  2.22918177]
[12.60452717  2.06059505]
[12.44281547  1.89883038]
[12.27713562  1.74253044]
[12.10670396  1.58905168]
[11.93330038  1.44310748]
[11.75843077  1.30513483]
[11.5843994   1.17765156]
[11.41342523  1.06291134]
[11.25104303  0.96710191]
[11.09439404  0.89129663]
[10.95092065  0.8371199 ]
[10.82242513  0.80649079]
[10.70895618  0.798075  ]
[10.60895271  0.80759106]
[10.52430352  0.83651636]
[10.45014183  0.87578357]
[10.38494507  0.92090858]
[10.32737993  0.96781187]
[10.27440757  1.01043888]
[10.23212278  1.05437723]
[10.20054677  1.0967657 ]
[10.18679672  1.1401958 ]
[10.16771385  1.16601154]
[10.16169551  1.18693398]
[10.19628256  1.21419183]
[10.22013753  1.22400473]
[10.23656856  1.22172066]
[10.25504789  1.2131029 ]
[10.28315501  1.2012418 ]
[10.31968364  1.18628105]
[10.3501563   1.16659996]
[10.39164782  1.14518007]
[10.43838575  1.12131905]
[10.48476812  1.09488469]
[10.53974464  1.06673907]
[10.5976566   1.03694675]
[10.65822763  1.00621026]
[10.72139826  0.97545733]
[10.79249639  0.94607218]
[10.85086572  0.91869381]
[10.91314549  0.89485338]
[10.98449991  0.8759907 ]
[11.054194   0.8622952]
[11.13273365  0.85546228]
[11.20845217  0.85442762]
[11.29122734  0.86071676]
[11.38438325  0.87531267]
[11.46773192  0.89337469]
[11.54925994  0.9154297 ]
[11.60562252  0.93373034]
[11.65413648  0.95096956]
[11.67603696  0.96038513]
[11.68352291  0.9634687 ]
[11.66861993  0.95638736]
[11.62756304  0.93674616]
[11.55763966  0.90415298]
[11.46073325  0.85805169]
[11.33637997  0.7986558 ]
[11.18574953  0.72746099]
[11.01178035  0.64733486]
[10.81909346  0.56240612]
[10.61366187  0.47771928]
[10.39862641  0.39715085]
[10.16078682  0.32070726]
[9.94397413 0.27183158]
[9.7494477  0.24668878]
[9.57509391 0.24226572]
[9.4238713  0.25162906]
[9.29043275 0.26878492]
[9.16941014 0.28911484]
[9.05463581 0.3091099 ]
[8.94297009 0.32254996]
[8.82889505 0.32408327]
[8.70600842 0.30621785]
[8.57519209 0.26847569]
[8.43967639 0.21513462]
[8.28997894 0.13790467]
[8.13092776 0.04267433]
[ 7.95970866 -0.072802  ]
[ 7.79318815 -0.18752594]
[ 7.59905895 -0.33813561]
[ 7.39471867 -0.49811373]
[ 7.18818568 -0.65852323]
[ 6.85876584 -0.99098292]
[ 6.62631762 -1.15361086]
[ 6.39378176 -1.3063125 ]
[ 6.15008326 -1.45506896]
[ 5.91124463 -1.58023886]
[ 5.66571338 -1.68577945]
[ 5.42267473 -1.75914176]
[ 5.19086378 -1.79408942]
[ 4.93205768 -1.77310294]
[ 4.69750105 -1.71744348]
[ 4.47390376 -1.62964485]
[ 4.26280883 -1.51213685]
[ 4.06553129 -1.36839137]
[ 3.88316599 -1.20263955]
[ 3.71659434 -1.01957218]
[ 3.56652705 -0.82400787]
[ 3.43682174 -0.62794438]
[ 3.3261712  -0.43595812]
[ 3.22846057 -0.23692437]
[ 3.14855279 -0.04860387]
[3.08212486 0.14076768]
[3.03056518 0.32127558]
[2.99294824 0.48462778]
[2.96709849 0.64185151]
[2.95178891 0.78474845]
[2.94498397 0.91210426]
[2.94446383 1.02303853]
[2.94694055 1.11367791]
[2.95214283 1.19129254]
[2.95683976 1.25215753]
[2.95759975 1.29377656]
[2.95497945 1.32267249]
[2.94776301 1.3401885 ]
[2.93503399 1.34850868]
[2.91583709 1.34836624]
[2.89022827 1.34281352]
[2.85826766 1.33417457]
[2.82032194 1.32476317]
[2.77702538 1.31674608]
[2.72922508 1.31200463]
[2.67791089 1.31202097]
[2.62570552 1.31683181]
[2.57385527 1.32622607]
[2.52012429 1.34215444]
[2.463893   1.36623201]
[2.4117773  1.39112353]
[2.36279419 1.41675478]
[2.31451708 1.44494248]
[2.26982986 1.47074546]
[2.22651125 1.49595215]
[2.18598581 1.51752493]
[2.15248478 1.5406224 ]
[2.1235875  1.55625552]
[2.09810151 1.56866816]
[2.07762551 1.57680599]
[2.06278681 1.58322021]
[2.05550526 1.590638  ]
[2.05628901 1.59939121]
[2.06872448 1.61380905]
[2.09152047 1.63323655]
[2.13032515 1.66251741]
[2.18101313 1.69866554]
[2.25138713 1.74696622]
[2.33369333 1.80151765]
[2.43196274 1.86428172]
[2.55949165 1.94214568]
[2.68217405 2.0134317 ]
[2.81784846 2.08808274]
