0.4	0.602789727
0.5	0.651146699
0.6	0.678780798
0.8	0.697779916
0.9	0.702961985
1.1	0.701238231
1.2	0.692603251
1.4	0.649422945
1.6	0.601060569
1.7	0.550969036
1.9	0.500882907
2	0.44906762
2.2	0.398981491
2.3	0.357524939
2.5	0.32989084
2.6	0.309167967
2.8	0.312739554
3	0.271540121
3.1	0.25468421
3.2	0.24127274
3.3	0.243452794
3.4	0.230340688
3.5	0.211615803
3.6	0.200378529
3.7	0.191016087
4	0.176035007
4.1	0.162922901
4.2	0.149816653
4.4	0.144198016
4.6	0.142323184
4.7	0.138579379
4.8	0.13108591
5.1	0.144165857
5.3	0.13854722
5.5	0.132928583
5.6	0.129184778
5.8	0.127309946
6.4	0.117947504
6.5	0.114203698
6.7	0.112328866
6.8	0.080524034
7	0.078655061
7.6	0.05500676
7.8	0.04600676
7.9	0.04100676
8	0.039137787
8.2	0.037262955
8.8	0.031644318
9	0.029775345
9.1	0.029775345
9.3	0.029775345
